id,filename,hypo
0,audio_0.wav,продолжение следует
1,audio_1.wav,субтитры создавал dimatorzok
2,audio_2.wav,потише жрем враг на гремли сюда и есть
3,audio_3.wav,слышали не понял
4,audio_4.wav,быстро за мной
5,audio_5.wav,ты где весь сентябрь уроки прогуливал ну вообще…
6,audio_6.wav,наркоманить телевизор твой из дома вынесет ну мам ну областная клиническая больница где ты взял такую печать
7,audio_7.wav,я в топ30 по баттл тимс2
8,audio_8.wav,у меня реакция 140 миллисекунд витя только прошу не убивай его
9,audio_9.wav,значит так глеб с завтрашнего дня берешься за ум и наверстываешь все что пропустил и никакого тебе компьютера
10,audio_10.wav,пока не закончишь четверть без троек
11,audio_11.wav,отлично выглядишь у тебя ремиссия поздравляю
12,audio_12.wav,субтитры сделал dimatorzok
13,audio_13.wav,субтитры сделал dimatorzok
14,audio_14.wav,продолжение следует
15,audio_15.wav,продолжение следует
16,audio_16.wav,продолжение следует
17,audio_17.wav,нужно както подмаслить чтобы они почувствовали себя важными они короче теперь курируют проект
18,audio_18.wav,вместо меня алиса
19,audio_19.wav,в общем все что ты могла ты уже сделала поэтому просто сядь в зал и расслабься кстати у меня для тебя еще сюрпризик был еще один
20,audio_20.wav,девушка
21,audio_21.wav,я всех рад вас видеть в этом замечательном месте как известно центурион занимается поиском и поддержкой талантливой молодежи
22,audio_22.wav,че встал еще неси
23,audio_23.wav,субтитры сделал dimatorzok
24,audio_24.wav,продолжение следует
25,audio_25.wav,всем салам это карпатыч сорян за опоздание
26,audio_26.wav,ну и
27,audio_27.wav,подпишем контракт но будет жестко и будем смотреть не только тебя рабочий день по 10 часов точно готов
28,audio_28.wav,ало ты тут да да
29,audio_29.wav,да конечно пацаны мне лишь бы возможность я вывезу вывезу окей тогда на связи сообщу чё как до свидания
30,audio_30.wav,ха
31,audio_31.wav,наши места не заняты штяг да кто их займет если вы тут круглосуточно
32,audio_32.wav,как вас еще не отчислили знаешь шараги это че надо такого сделать
33,audio_33.wav,47 основан колледж а колледж номер 47 основан хрен знает в каком году
34,audio_34.wav,давайте посмотрим как у нас проходит обычная пара
35,audio_35.wav,не будем мешать занятию заметили в аудитории есть свободные места но ни одному прогульщику не сойдет это с рук
36,audio_36.wav,в конце семестра каждый будет обязан скачать и распечатать реферат из минусов в мужском толчке нет дверей
37,audio_37.wav,молодой человек вы бы еще посреди мая позвонили набор в колледж закрыт год учебный идет никаких исключений нет совсем
38,audio_38.wav,у вас есть какието особых достижения вряд ли к нам такие не приходят так что ждем вас в следующем году не мешайте работать
39,audio_39.wav,продолжение следует
40,audio_40.wav,а есть цветной принтер задача нашего чемпионата
41,audio_41.wav,не просто развивать но и поощрять интерес к точным наукам и мы сделаем все чтобы наши ребята
42,audio_42.wav,в сфере itтехнологий были впереди планеты всей ну я и моя команда для этого делает все
43,audio_43.wav,как говорится не спим работаем не покладая рук пожалуйста
44,audio_44.wav,а у вас в буклете указано что в конкурсе будет целых семь этапов а почему так много
45,audio_45.wav,ну а почему бы и нет
46,audio_46.wav,потому что их четыре вам даже в буклет было лень заглянуть да
47,audio_47.wav,очевидно у девушки сегодня плохое настроение очевидно встала не с той ноги
48,audio_48.wav,это возможно лучший нервный срыв года еще и от лица компании теперь все наши контракты с министерством под вопросом алиса
49,audio_49.wav,они такие приехали вали да кто тебе сказал вали дура я тебе вообще место зама готовил
50,audio_50.wav,не может быть и не будет алисонька потому что ты решила устроить стендап и всех нас утопить
51,audio_51.wav,ну может сми это не интересно не интересно да
52,audio_52.wav,человек прожил 22 часа в пасте кита ого в общем ты уволил
53,audio_53.wav,субтитры сделал dimatorzok
54,audio_54.wav,продолжение следует
55,audio_55.wav,продолжение следует
56,audio_56.wav,продолжение следует
57,audio_57.wav,продолжение следует
58,audio_58.wav,субтитры сделал dimatorzok
59,audio_59.wav,продолжение следует
60,audio_60.wav,субтитры создавал dimatorzok
61,audio_61.wav,продолжение следует
62,audio_62.wav,продолжение следует
63,audio_63.wav,продолжение следует
64,audio_64.wav,какой он мир современной девушки он и он не может быть
65,audio_65.wav,изменчив и непостоянен мы чувствуем всё в сердце мы умеем останавливать время
66,audio_66.wav,великое тайно
67,audio_67.wav,целая вселенная наш мир он многогранный
68,audio_68.wav,продолжение следует
69,audio_69.wav,субтитры создавал dimatorzok
70,audio_70.wav,субтитры создавал dimatorzok
71,audio_71.wav,продолжение следует
72,audio_72.wav,продолжение следует
73,audio_73.wav,продолжение следует
74,audio_74.wav,продолжение следует
75,audio_75.wav,продолжение следует
76,audio_76.wav,продолжение следует
77,audio_77.wav,продолжение следует
78,audio_78.wav,субтитры создавал dimatorzok
79,audio_79.wav,продолжение следует
80,audio_80.wav,продолжение следует
81,audio_81.wav,продолжение следует
82,audio_82.wav,субтитры создавал dimatorzok
83,audio_83.wav,продолжение следует
84,audio_84.wav,встречайте участниц национального конкурса «мисс россия2023»
85,audio_85.wav,продолжение следует
86,audio_86.wav,тузина елизавета 20 лет тольятти
87,audio_87.wav,продолжение следует
88,audio_88.wav,морозова екатерина 22 года казань
89,audio_89.wav,продолжение следует
90,audio_90.wav,екатерина 21 год оренбургская область
91,audio_91.wav,продолжение следует
92,audio_92.wav,продолжение следует
93,audio_93.wav,субтитры сделал dimatorzok
94,audio_94.wav,ефремова елизавета 19 лет тюменская область
95,audio_95.wav,спасибо за просмотр
96,audio_96.wav,алексина елизавета 22 года пиробиджан
97,audio_97.wav,алиева марианна 22 года республика дагестан
98,audio_98.wav,субтитры сделал dimatorzok
99,audio_99.wav,субтитры сделал dimatorzok
100,audio_100.wav,субтитры создавал dimatorzok
101,audio_101.wav,захарченко ксения 22 года крестнодарский край
102,audio_102.wav,субтитры создавал dimatorzok
103,audio_103.wav,спасибо за просмотр
104,audio_104.wav,старкевич александра 18 лет тюмень
105,audio_105.wav,гарипова камилла 22 года нижнекамск
106,audio_106.wav,антонова анастасия 23 года республика мариэлл
107,audio_107.wav,продолжение следует
108,audio_108.wav,здравствуйте здравствуйте ну что
109,audio_109.wav,вы готовы к сеансу да готов что надо делать давайте
110,audio_110.wav,говорите свой вопрос в общем у меня девушка и вижу вижу
111,audio_111.wav,ох огненная девка а ну давайте посмотрим что там за принцесса у моего принца кто она кто она
112,audio_112.wav,императрица ее и зовут екатерина ну это шикарная красивая изобильная ресурсная женщина
113,audio_113.wav,что тебя в ней не устраивает а есть мне кто будет готовить просто сейчас все вокруг такие ресурсные а иногда просто хочется
114,audio_114.wav,фельмешек бахнуть
115,audio_115.wav,ох ярослав ну женщинаимператрица понимаешь она для любви а не для обеда да
116,audio_116.wav,ну это яндекс еда
117,audio_117.wav,ну я так и думала что это яндекседа ну конечно доставайте телефончик прямо сейчас надо скачивать ведь в яндекседе есть все о чем только можно мечтать
118,audio_118.wav,это и сочные хинкали и горячая пицца ароматный плов и вкусный
119,audio_119.wav,вкусные бургеры там абсолютно все вкусы мира они вам и завтрак и обед и ужин привезут по расписанию
120,audio_120.wav,а это что за знак что значит фиолетовая молния повышенного спроса
121,audio_121.wav,мой хороший здесь тебе подскажут не карты а просто мой жизненный опыт я делюсь магическим советом слушай чем ближе ресторан
122,audio_122.wav,тем дешевле будет доставка понимаешь да а если заказать самовывоз экономия еще больше ну это же замечательно
123,audio_123.wav,продолжение следует
